Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
2.00031E+23 6/13/18 7:31 - 2.00031E+23 6/13/18 7:31,2.00031E+23 6/13/18 7:31 ,2.00031E+23 6/13/18 7:31,0,1
2.00031E+23 6/13/18 7:31 - 3.80025E+23 4/16/19 22:00,2.00031E+23 6/13/18 7:31 ,3.80025E+23 4/16/19 22:00,0,2
2.00031E+23 6/13/18 7:31 - 1a0041001151363038393739 4/16/19 20:59,2.00031E+23 6/13/18 7:31 ,1a0041001151363038393739 4/16/19 20:59,23.18483446,3
2.00031E+23 6/13/18 7:31 - 5.30039E+23 6/13/18 10:50,2.00031E+23 6/13/18 7:31 ,5.30039E+23 6/13/18 10:50,294.4676077,4
2.00031E+23 6/13/18 7:31 - 4d004b000a51353431383437 4/18/19 11:34,2.00031E+23 6/13/18 7:31 ,4d004b000a51353431383437 4/18/19 11:34,1363.28685,5
2.00031E+23 6/13/18 7:31 - 2c001e001647373333353132 4/23/19 12:05,2.00031E+23 6/13/18 7:31 ,2c001e001647373333353132 4/23/19 12:05,1491.288322,6
2.00031E+23 6/13/18 7:31 - 3.10035E+23 6/20/18 9:32,2.00031E+23 6/13/18 7:31 ,3.10035E+23 6/20/18 9:32,1578.997489,7
2.00031E+23 6/13/18 7:31 - 49005b001151363038393739 6/20/18 11:03,2.00031E+23 6/13/18 7:31 ,49005b001151363038393739 6/20/18 11:03,1584.379793,8
2b004b001251363038393739 6/13/18 7:56 - 2b004b001251363038393739 6/13/18 7:56,2b004b001251363038393739 6/13/18 7:56 ,2b004b001251363038393739 6/13/18 7:56,0,1
2b004b001251363038393739 6/13/18 7:56 - 3.80025E+23 6/13/18 8:21,2b004b001251363038393739 6/13/18 7:56 ,3.80025E+23 6/13/18 8:21,151.6988903,2
2b004b001251363038393739 6/13/18 7:56 - 31001e001351363038393739 6/14/18 15:06,2b004b001251363038393739 6/13/18 7:56 ,31001e001351363038393739 6/14/18 15:06,436.1967833,3
2b004b001251363038393739 6/13/18 7:56 - 330026000e47373432363837 6/11/19 16:39,2b004b001251363038393739 6/13/18 7:56 ,330026000e47373432363837 6/11/19 16:39,615.6584417,4
2b004b001251363038393739 6/13/18 7:56 - 230045000f47373334363431 4/23/19 16:50,2b004b001251363038393739 6/13/18 7:56 ,230045000f47373334363431 4/23/19 16:50,619.2656347,5
2b004b001251363038393739 6/13/18 7:56 - 4.50019E+23 6/19/18 16:46,2b004b001251363038393739 6/13/18 7:56 ,4.50019E+23 6/19/18 16:46,819.1776186,6
2b004b001251363038393739 6/13/18 7:56 - 5.00036E+23 6/14/18 15:17,2b004b001251363038393739 6/13/18 7:56 ,5.00036E+23 6/14/18 15:17,831.9398507,7
2b004b001251363038393739 6/13/18 7:56 - 380029000d50483553343720 4/16/19 22:03,2b004b001251363038393739 6/13/18 7:56 ,380029000d50483553343720 4/16/19 22:03,831.9398507,8
2b004b001251363038393739 6/13/18 7:56 - 4b0041001951353339373130 4/16/19 21:02,2b004b001251363038393739 6/13/18 7:56 ,4b0041001951353339373130 4/16/19 21:02,831.9398507,9
2b004b001251363038393739 6/13/18 7:56 - 2a002a000951343334363138 6/19/18 16:42,2b004b001251363038393739 6/13/18 7:56 ,2a002a000951343334363138 6/19/18 16:42,1040.45343,10
2b004b001251363038393739 6/13/18 7:56 - 2f0041001047373334363431 4/23/19 14:16,2b004b001251363038393739 6/13/18 7:56 ,2f0041001047373334363431 4/23/19 14:16,1131.854649,11
2b004b001251363038393739 6/13/18 7:56 - 1b0029000347373334363431 6/11/19 17:06,2b004b001251363038393739 6/13/18 7:56 ,1b0029000347373334363431 6/11/19 17:06,1433.813516,12
2b004b001251363038393739 6/13/18 7:56 - 2b0053000d50483553343720 4/18/19 21:11,2b004b001251363038393739 6/13/18 7:56 ,2b0053000d50483553343720 4/18/19 21:11,1678.551,13
2b004b001251363038393739 6/13/18 7:56 - 5.20027E+23 6/21/18 20:31,2b004b001251363038393739 6/13/18 7:56 ,5.20027E+23 6/21/18 20:31,1721.39257,14
2b004b001251363038393739 6/13/18 7:56 - 4.20028E+23 5/10/19 5:59,2b004b001251363038393739 6/13/18 7:56 ,4.20028E+23 5/10/19 5:59,1721.39257,15
2b004b001251363038393739 6/13/18 7:56 - 1.90039E+23 5/20/19 1:57,2b004b001251363038393739 6/13/18 7:56 ,1.90039E+23 5/20/19 1:57,2077.844003,16
2b004b001251363038393739 6/13/18 7:56 - 1.90039E+23 4/23/19 17:11,2b004b001251363038393739 6/13/18 7:56 ,1.90039E+23 4/23/19 17:11,2150.680162,17
2b004b001251363038393739 6/13/18 7:56 - 2c003d000147373334363431 4/23/19 20:16,2b004b001251363038393739 6/13/18 7:56 ,2c003d000147373334363431 4/23/19 20:16,2303.110398,18
