core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
40003e000347373334363431,2019-03-04 18:58:28+00,2019-05-24 09:39:31+00,2019-03-04 21:35:36+00,18993,6.37613857737061,5.54574860295892,5.5846764,-0.383708479755697,-0.2516429,15179.5836807807
4a0046001951353339373130,2018-06-21 16:04:51+00,2019-08-31 16:50:57+00,2018-07-03 04:35:59+00,38674,6.73090448363241,5.64537869630759,5.652673,-0.238090042716039,-0.2978059,6632.60781696052
57003c000151353432393339,2018-06-19 10:51:16+00,2018-12-20 02:39:33+00,2018-10-31 05:24:36+00,491,8.30753564154786,5.66221124032587,5.674243,-0.216269936863544,-0.2747364,6581.00207865915
47002d000a51353431383437,2018-06-19 09:27:54+00,2018-12-20 05:16:46+00,2018-07-01 00:01:10+00,61629,11.4350386993136,5.61678644143179,5.628238,-0.289986287153772,-0.2320765,6508.18893004212
240042001151363038393739,2018-06-19 09:47:13+00,2019-08-31 23:57:58+00,2018-07-01 00:00:21+00,286796,9.02732953039791,5.62826617695194,5.643435,-0.253593104157652,-0.3092749,6362.63398644533
240055000151353432393339,2018-06-19 17:25:43+00,2019-08-31 23:55:57+00,2018-07-03 10:42:11+00,102862,6.84573506251094,5.68505276576389,5.643223,-0.266571962930923,-0.2485588,5021.16234227459
58003e000951343334363138,2018-06-20 13:28:19+00,2019-05-07 02:19:57+00,2018-07-10 21:17:50+00,34,6.17647058823529,5.64523961764706,5.643435,-0.263798558823529,-0.3092749,5017.71266499553
480039001151363038393739,2018-06-21 12:14:27+00,2018-12-19 21:36:42+00,2018-12-17 09:37:31+00,130,7.35384615384615,5.62205404615384,5.621107,-0.241283584615385,-0.2830074,4601.23546226351
550036001351363038393739,2018-06-13 10:14:48+00,2019-08-31 23:49:42.987+00,2019-05-10 15:08:35.076+00,19019,7.08596666491403,5.61077253725221,5.638891,-0.329962171617855,-0.3000673,4524.75361528735
2f0025001451343334363036,2018-06-14 14:27:43+00,2018-12-20 10:28:05+00,2018-10-10 20:23:37+00,1613,10.0167389956603,5.66254945133292,5.645014,-0.204464117792933,-0.2371164,4086.19220684442
520027000351353337353037,2018-06-21 20:31:32+00,2018-09-30 06:23:05+00,2018-07-01 00:00:22+00,33584,9.00357313006193,5.60898446367328,5.608996,-0.219132177703666,-0.2552361,3980.45763637342
280030001251363038393739,2018-06-19 13:50:55+00,2019-08-31 17:21:00+00,2018-07-01 01:45:22+00,2378,4.75315391084945,5.68261347224558,5.663692,-0.266774904962153,-0.2386933,3733.22625129103
26002c001951343334363036,2018-06-18 14:26:26+00,2018-12-20 11:37:18+00,2018-07-01 08:05:57+00,12358,5.41220262178346,5.66309229713544,5.643435,-0.2880886194368,-0.3092749,3186.33527627126
470019000951343334363138,2019-04-15 17:02:14+00,2019-07-20 13:00:32+00,2019-04-16 07:43:37+00,2858,4.99580125962211,5.66308934604619,5.643435,-0.288101939818055,-0.3092749,3185.03751471956
350037001951353339373130,2018-06-18 09:48:13+00,2018-12-13 17:51:18+00,2018-12-13 17:24:36+00,16,9.8125,5.6650485,5.643435,-0.297319,-0.3092749,2723.1681418611
2f0028001251363038393739,2018-06-20 12:55:53+00,2018-07-10 01:59:07+00,2018-07-10 01:47:03+00,6,4,5.61029733333333,5.619511,-0.276470666666667,-0.2535973,2718.69113264152
26004e000951343334363138,2018-06-18 16:20:04+00,2018-12-15 22:07:03+00,2018-08-02 16:12:51+00,311,5.84565916398714,5.6826274244373,5.669168,-0.271777868167202,-0.2882211,2342.74370114914
3c0025001451343334363036,2018-06-19 09:43:45+00,2018-11-03 05:30:40+00,2018-07-01 00:00:01+00,48902,8.9636211197906,5.62897663506603,5.629128,-0.211904080589748,-0.2321295,2229.91493467353
470055001151363038393739,2019-04-16 18:55:45+00,2019-08-31 23:59:15+00,2019-05-13 16:46:11+00,6445,6.53467804499612,5.6301985484872,5.6285691,-0.303466157020947,-0.2847765,2068.35106541309
3e0025000247373334363431,2019-04-24 15:49:13+00,2019-05-10 21:59:43+00,2019-05-10 21:50:42+00,6,5.5,5.68107633333333,5.669168,-0.2814755,-0.2882211,1508.90134155777
2b0017000147373334363431,2019-05-09 12:58:26+00,2019-07-30 03:10:26+00,2019-05-09 13:04:39+00,36150,7.10461964038728,5.61344850439835,5.621107,-0.271933644508991,-0.2830074,1484.41140258069
310024001351363038393739,2018-06-21 13:14:15+00,2019-08-31 23:59:23+00,2018-07-01 00:01:00+00,297549,6.5569469230278,5.67135681670246,5.659904,-0.286604078155184,-0.2933875,1467.53402838424
2e0041000e47373334363431,2019-02-26 19:40:51+00,2019-08-29 12:58:49+00,2019-02-27 04:10:08+00,4899,5.26352316799347,5.53668774157991,5.5365133,-0.250412337619923,-0.2621112,1289.94295485449
400021000347373334363431,2019-04-16 09:13:17+00,2019-07-11 18:11:56+00,2019-07-11 07:54:46+00,171,5.58479532163743,5.66714124561403,5.660941,-0.277905847953216,-0.2681037,1278.73437748083
510042001951353339373130,2019-04-16 09:21:03+00,2019-08-21 03:27:28+00,2019-04-18 11:13:17+00,78549,5.70142204229207,5.66667371268891,5.658278,-0.278482934499489,-0.2863584,1269.12523408498
2f002c001251363038393739,2018-06-18 10:50:38+00,2018-12-13 16:19:49+00,2018-07-18 07:17:48+00,90614,8.22738208223895,5.66665135300291,5.658278,-0.278495441079746,-0.2863584,1266.3841354241
34002b001251363038393739,2018-06-14 09:22:48+00,2018-12-12 21:41:55+00,2018-12-12 12:45:13+00,215,11.8372093023256,5.62954582325581,5.629669,-0.236106706976744,-0.2474592,1251.68602773907
33005b000e51353433323633,2018-06-19 11:09:26+00,2019-08-31 23:59:38+00,2018-07-01 00:00:20+00,280207,6.83961499891152,5.67404322166102,5.666141,-0.266486425435446,-0.2740577,1206.56678079067
390032000647373334363431,2019-02-27 22:15:10+00,2019-08-30 19:16:06+00,2019-02-27 22:15:12+00,36853,5.77855262800857,5.56534761612355,5.5578274,-0.248432484519581,-0.2458962,874.987716236299
3f0025000d47373334363431,2019-03-04 20:04:53+00,2019-03-05 22:54:51+00,2019-03-04 20:04:54+00,862,7.26682134570766,5.58055082482599,5.5847621,-0.228728745939675,-0.235254,856.22295875254
43002c000951343334363138,2018-06-21 16:17:14+00,2018-12-10 23:21:27+00,2018-10-14 12:39:12+00,19559,6.82626923666854,5.64738330993403,5.651056,-0.281879404468528,-0.2751968,840.694058056802
560055000d50483553343720,2019-03-04 17:50:54+00,2019-08-31 23:59:50+00,2019-03-04 17:51:15+00,164424,10.3144918016835,5.59031639135998,5.5901646,-0.229991618182255,-0.2361557,679.796039981972
260041000f47373432363837,2019-05-14 17:20:06+00,2019-08-15 10:56:27+00,2019-06-27 21:05:17+00,5821,5.29393574987116,5.62526204226078,5.631135,-0.299787009448547,-0.3005749,653.294318586515
3b0041000951353431383437,2018-06-18 08:52:27+00,2019-01-09 07:44:18+00,2018-07-02 00:01:19+00,1750,4.72228571428571,5.59017404057142,5.594841,-0.288152583428572,-0.2857491,578.757297811437
21001e000247373334363431,2019-04-23 21:16:13+00,2019-07-23 09:20:06+00,2019-07-23 09:14:04+00,4,5,5.63208775,5.6283849,-0.23086275,-0.2336176,508.828494670276
380029000d50483553343720,2019-04-16 22:03:31+00,2019-08-31 23:58:42+00,2019-05-08 11:32:59+00,91477,6.78990347300414,5.6216762404538,5.618104,-0.25713778944434,-0.2594261,467.715625064945
49001a000951343334363138,2018-06-14 17:03:29+00,2018-11-07 11:51:56+00,2018-07-02 12:48:08+00,22589,6.86294213997964,5.63432064637659,5.632631,-0.297432504493336,-0.3011994,455.165714807975
35002f001951353339373130,2018-06-18 12:51:17+00,2018-12-20 11:59:57+00,2018-10-17 07:37:25+00,29987,7.4065428352286,5.66315005048857,5.665104,-0.285994198719444,-0.2892783,421.311397732374
510042001951353339373130,2018-06-19 16:52:18+00,2018-12-14 13:23:40+00,2018-07-01 00:00:18+00,55518,9.34199719010051,5.65853889491696,5.65538,-0.295850893584063,-0.2977016,403.637451313445
