core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
44002d000347373334363431,2019-02-22 16:10:31+00,2019-08-31 23:59:15+00,2019-02-22 16:11:54+00,164539,0,,5.5556615,,-0.2707583,
2e0042000147373334363431,2019-04-23 14:48:52+00,2019-08-31 23:59:53+00,2019-04-23 14:49:17+00,118611,0,,5.6384684,,-0.2772639,
2f0046000747373432363837,2019-02-25 19:11:57+00,2019-08-31 23:58:56+00,2019-02-25 19:12:05+00,169540,0,,5.5281759,,-0.2644518,
17002a000747373334363431,2019-03-25 21:26:06+00,2019-08-31 23:58:58+00,2019-03-25 21:27:14+00,126709,0.000213086678925727,,5.5677648,,-0.2040891,
430032000347373334363431,2019-02-26 21:50:26+00,2019-07-03 07:55:51+00,2019-03-12 07:14:54+00,5474,0,,5.5691123,,-0.2430593,
21003b000b47373334363431,2019-03-07 22:14:34+00,2019-08-31 23:59:29+00,2019-03-08 08:29:19+00,158141,0,,5.5436235,,-0.261507,
210033000b47373334363431,2019-02-25 18:54:33+00,2019-08-31 23:59:09+00,2019-02-25 18:55:18+00,158865,0,,5.5705556,,-0.26008,
310032000e47373334363431,2019-03-08 22:06:07+00,2019-08-31 19:39:28+00,2019-03-08 22:07:13+00,144103,0,,5.5693262,,-0.2270144,
310035001351363038393739,2019-04-18 03:47:50+00,2019-08-31 23:58:58+00,2019-04-18 03:49:17+00,95363,0,,5.6308335,,-0.3005534,
2d0041000c47373334363431,2019-05-08 17:05:35+00,2019-08-31 18:40:54+00,2019-05-08 17:54:38+00,62437,0,,5.5630002,,-0.2401933,
33003a000951343334363138,2019-04-18 23:39:31+00,2019-08-31 23:59:08+00,2019-04-18 23:40:30+00,120878,0,,5.6420639,,-0.285067,
190034000147373334363431,2019-02-26 10:39:43+00,2019-08-31 23:58:52+00,2019-02-26 10:44:54+00,48176,0,,5.5305933,,-0.2568004,
330056001251363038393739,2019-04-26 14:46:59+00,2019-08-31 23:59:43+00,2019-04-26 14:52:43+00,60871,0,,5.6481997,,-0.2524115,
340023000247373334363431,2019-04-16 22:04:36+00,2019-08-31 23:59:31+00,2019-04-16 22:05:36+00,85718,0,,5.6267476,,-0.306105,
